Title_Incident_Report,Segment,Location,Department_Area,Incident_Type,Process,Operation_Mode,Machine_Category,Machine_Type,Risk_Factor,Repeat_Incident,Maximum_Possible_Damage_Harm_Occurred,Employee_Type,Gender,Type_Of_Injury,Injured_Body_Part,Lost_Days,Damage_Harm_Sufficient_and_Correct_in_RA,accident type ,Date_fix
Left Big Toe Contusion,System,ElJem,IR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Conveyor System / Robot,AGV SystemSTEM,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Female,Sprain/Strain,Foot,15.0,YES,,1/5/2019
Right Index Finger Injury,Electric,SousseMETS,KS,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Power / Work Machine,Machine CRMP CENTER 365,1.2 - Parts with dangerous surfaces,YES,YES,DRX,male,Abrasion,Hand,10.0,NO,,3/1/2019
Back Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,,Normal operation,Other,,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Male,Other,Body,15.0,NO,,16/1/2019
Right Hand Wound,Electric,SousseMETS,KS,A2-Injury with lost time,,Normal operation,Other,,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Male,Stab injury,Hand,12.0,NO,,13/2/2019
Right Thumb Wound,Electric,SousseMETS,Assembly,A2-Injury with lost time,,Normal operation,Other,,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Male,Stab injury,Hand,8.0,NO,,8/1/2019
Right Index Finger Injury,Electric,SousseMETS,Maintenance,A2-Injury with lost time,I - 7005 - testing,Maintenance,ProcElectrics Machine,PrElectrics MFU,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Male,Crush/Bruise,Hand,30.0,NO,,23/1/2019
Head Wound,Electric,SousseMETS,KS,A2-Injury with lost time,I - 3022 - cutting - machine,Normal operation,Other,,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Male,Stab injury,Head,8.0,NO,,9/1/2019
Head Wound,Electric,SousseMETS,KS,A2-Injury with lost time,E - 7002 testing - function_electrical,Normal operation,Other,,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Male,Stab injury,Head,6.0,NO,,25/1/2019
Right Third Finger Injury with Wound,Electric,SousseMETS,Zeta,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Power / Work Machine,Hanke,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Female,Stab injury,Hand,8.0,NO,,13/3/2019
Left Thumb Wound,Electric,SousseMETS,KS,A2-Injury with lost time,I - 4015 - pressing_(joining) - roll_pressing,Testing mode,Other,SCHÄFER,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Male,Fracture,Hand,35.0,YES,,5/3/2019
Index Finger Crush,System,SousseMETS,VK,A2-Injury with lost time,E - 4015 crimping - double strike - wire-contact_part,Maintenance,ProcElectrics Machine,HANKE,1.2 - Parts with dangerous surfaces,YES,NO,DRX,Male,Cut,Hand,45.0,NO,,18/9/2019
Right Thumb Wound,Interior,SousseMETS,KS,A2-Injury with lost time,,Normal operation,Other,,1.2 - Parts with dangerous surfaces,NO,YES,DRX,Male,Stab injury,Hand,8.0,NO,,8/1/2019
Index Finger Injury,System,SousseMETS,BX8,A2-Injury with lost time,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harnElectrics",Testing mode,Tools / Utilities,,1.2 - Parts with dangerous surfaces,NO,NO,DRX,Male,Cut,Hand,10.0,NO,,10/9/2019
Index Finger Injury,System,SousseMETS,BX8,A2-Injury with lost time,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harnElectrics",Testing mode,Tools / Utilities,,1.2 - Parts with dangerous surfaces,NO,NO,DRX,Male,Abrasion,Hand,10.0,NO,,9/9/2019
Hand Injury,System,ElJem,MM,A2-Injury with lost time,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harnElectrics",Normal operation,Other,,1.3 - Transport and mobile work equipment,NO,NO,DRX,Male,Sprain/Strain,Hand,16.0,NO,,7/5/2019
Right Upper Abdominal Pain,System,ElJem,Logistics,A2-Injury with lost time,I - 3003 - turning,Normal operation,Other,,1.3 - Transport and mobile work equipment,NO,NO,DRX,Male,Crush/Bruise,Arm,2.0,NO,,10/6/2019
Right Wrist Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,Other,no machine,1.3 - Transport and mobile work equipment,NO,NO,DRX,Male,Fracture,Body,3.0,NO,,21/5/2019
Right Foot and Hand Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,I - 8004 - internal_transport,Normal operation,ProcElectrics Machine,forklift,1.3 - Transport and mobile work equipment,NO,YES,DRX,Male,Crush/Bruise,Foot,15.0,YES,,25/2/2019
Right Hand Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,1.3 - Transport and mobile work equipment,YES,YES,DRX,Female,Crush/Bruise,Hand,15.0,NO,,17/1/2019
Knee Injury,System,SousseMETS,KS,A2-Injury with lost time,I - 8004 - internal_transport,Normal operation,Tools / Utilities,chariot,1.3 - Transport and mobile work equipment,YES,NO,DRX,Male,Crush/Bruise,Foot,7.0,YES,,2/8/2019
Right Hand Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,1.3 - Transport and mobile work equipment,YES,YES,DRX,Female,Crush/Bruise,Hand,15.0,NO,,2/2/2019
Right Middle Finger Injury,System,SousseMETS,KS,A2-Injury with lost time,I - 8004 - internal_transport,Normal operation,Tools / Utilities,trolley,1.3 - Transport and mobile work equipment,YES,NO,DRX,Male,Stab injury,Hand,10.0,YES,,20/8/2019
Lower Back Pain,System,ElJem,IR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,1.4 - Uncontrolled moving parts,YES,YES,DRX,Female,Other,Body,7.0,YES,,19/9/2019
Left Hand Injury,Electric,SousseMETS,KS,A2-Injury with lost time,E - 8001 commInteriorsioning,Normal operation,Other,,1.4 - Uncontrolled moving parts,NO,YES,DRX,Male,Crush/Bruise,Hand,4.0,NO,,29/1/2019
Eye Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,E - 3001 skinning_/_strip_/_removing - removal - wire_insulation,Normal operation,Other,,1.4 - Uncontrolled moving parts,NO,YES,DRX,Female,Crush/Bruise,Eye,6.0,NO,,16/12/2019
Eye Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,E - 3001 skinning_/_strip_/_removing - removal - wire_insulation,Normal operation,Other,,1.4 - Uncontrolled moving parts,NO,YES,DRX,Female,Crush/Bruise,Eye,8.0,NO,,29/11/2019
Hand Injury,System,ElJem,MR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,"1.5 - Falling, slipping, stumbling, tripping",NO,YES,DRX,Male,Sprain/Strain,Hand,7.0,YES,,1/3/2019
Lower Back Injury,System,ElJem,Assembly,A2-Injury with lost time,I - 3013 - cutting - manual,Malfunction,Other,,"1.5 - Falling, slipping, stumbling, tripping",YES,YES,DRX,Female,Sprain/Strain,Body,7.0,NO,,2/4/2019
Right Foot Injury,System,ElJem,MR,A2-Injury with lost time,I - 3003 - turning,Normal operation,Other,,"1.5 - Falling, slipping, stumbling, tripping",YES,YES,DRX,Female,Sprain/Strain,Foot,15.0,NO,,21/6/2019
Knee Contusion,System,ElJem,MR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,"1.5 - Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Other,Foot,10.0,YES,,22/6/2019
Right Hand Injury from Fall,Electric,Siliana,MR,A2-Injury with lost time,,Normal operation,Machine Tool,no machine,"1.5 - Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Fracture,Hand,4.0,YES,,9/7/2019
Left Shoulder Injury,Electric,Siliana,SI,A2-Injury with lost time,I - 4007 - gluing - assembly_bonding,Maintenance,Other,no machine,"1.5 - Falling, slipping, stumbling, tripping",NO,YES,DRX,Male,Fracture,Hand,7.0,NO,,10/6/2019
Leg Injury from Slip,Electric,Siliana,ZSB,A2-Injury with lost time,,Normal operation,Other,No involved Machine,"1.5 - Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Sprain/Strain,Foot,14.0,YES,,30/8/2019
Left Hand Injury from Fall,Electric,Siliana,Logistics,A2-Injury with lost time,,Normal operation,Other,,"1.5 - Falling, slipping, stumbling, tripping",NO,YES,DRX,Male,Fracture,Hand,42.0,YES,,30/8/2019
Knee Sprain,Interior,SousseUATS,Production,A2-Injury with lost time,,Normal operation,Other,Steps,"1.5 - Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Sprain/Strain,Leg,11.0,NO,,1/7/2019
Lower Back Pain,Interior,SousseUATS,Production,A2-Injury with lost time,I - 1007 - extrusion - back-pressing,Normal operation,Other,,"1.5 - Falling, slipping, stumbling, tripping",NO,NO,DRX,Male,Other,Body,9.0,NO,,20/8/2019
Right Wrist Injury,System,ElJem,MM,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,1.6 - Falls,NO,YES,DRX,Male,Other,Hand,4.0,YES,,11/10/2019
Right Hand Injury,Electric,SousseMETS,Production,A2-Injury with lost time,Other,Normal operation,Other,,1.6 - Falls,YES,YES,DRX,Male,Crush/Bruise,Hand,30.0,NO,,8/4/2019
Finger Sprain,System,ElJem,IR,A2-Injury with lost time,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harnElectrics",Normal operation,Other,,10.1 - Work contents/job assignments,YES,YES,DRX,Male,Sprain/Strain,Hand,18.0,NO,,13/5/2019
Right Hand Finger Crush,System,ElJem,MR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,10.2 - Work organization,YES,YES,DRX,Male,Crush/Bruise,Hand,7.0,NO,,21/1/2019
Lower Back Pain,System,ElJem,IR,A2-Injury with lost time,I - 4023 - foldback,Normal operation,Other,,10.2 - Work organization,YES,YES,DRX,Male,Sprain/Strain,Body,15.0,NO,,29/1/2019
Right Hand Injury,System,ElJem,WC,A2-Injury with lost time,,Normal operation,Tools / Utilities,,10.2 - Work organization,YES,YES,DRX,Female,Sprain/Strain,Hand,12.0,YES,,7/3/2019
Lower Back Pain,System,ElJem,Nacherbeit,A2-Injury with lost time,I - 4023 - foldback,Normal operation,Other,,10.2 - Work organization,YES,YES,DRX,Female,Other,Body,4.0,YES,,5/7/2019
Neck Pain,System,ElJem,Logistics,A2-Injury with lost time,I - 4023 - foldback,Normal operation,Other,,10.2 - Work organization,YES,NO,DRX,Male,Other,Body,5.0,YES,,5/7/2019
Finger Injury,Electric,Siliana,Maintenance,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Metal Working Machine,No involved machine,10.2 - Work organization,NO,YES,DRX,Male,Laceration,Hand,7.0,YES,,27/9/2019
Finger Injury,Electric,Siliana,Maintenance,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Metal Working Machine,No involved machine,10.2 - Work organization,NO,YES,DRX,Male,Laceration,Hand,5.0,NO,,9/12/2019
Hand Injury from Loss of Balance,Electric,Siliana,FBB,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Other,No involved machine,10.2 - Work organization,NO,YES,DRX,Male,Laceration,Hand,10.0,NO,,10/3/2019
Right Toe Injury,Electric,Siliana,FBB,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Other,No involved machine,10.2 - Work organization,NO,YES,DRX,Male,Laceration,Foot,35.0,NO,,10/7/2019
Leg Injury,Electric,Siliana,Logistics,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Other,No involved machine,10.2 - Work organization,NO,YES,DRX,Female,Laceration,Foot,10.0,NO,,14/10/2019
Right Hand Injury,Electric,Siliana,KS,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Packaging Machine,No involved machine,10.2 - Work organization,NO,YES,DRX,Male,Laceration,Hand,15.0,NO,,29/10/2019
Finger Injury,Electric,Siliana,Maintenance,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Other,No involved machine,10.2 - Work organization,NO,YES,DRX,Male,Laceration,Hand,15.0,NO,,28/10/2019
Right Toe Injury,Electric,Siliana,FBB,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Other,No involved machine,10.2 - Work organization,NO,YES,DRX,Male,Laceration,Foot,15.0,NO,,10/4/2019
Right Hand Injury,Electric,SousseMETS,VK,A2-Injury with lost time,I - 7011 - cleaning,Normal operation,Other,,10.2 - Work organization,NO,YES,DRX,Female,Abrasion,Hand,15.0,NO,,26/3/2019
Hand Injury,System,SousseMETS,BX8,A2-Injury with lost time,I - 7011 - cleaning,Normal operation,Other,,10.2 - Work organization,NO,NO,DRX,Female,Fracture,Hand,1.0,NO,,26/11/2019
Left Foot Sprain,System,ElJem,,A2-Injury with lost time,E - 7001 walking time_/_assembly line,Normal operation,Other,,10.4 - Work environment,YES,NO,DRX,Female,Sprain/Strain,Foot,15.0,NO,,7/8/2019
