Title_Incident_Report,Segment,Location,Department_Area,Incident_Type,Process,Operation_Mode,Machine_Category,Machine_Type,Risk_Factor,Repeat_Incident,Maximum_Possible_Damage_Harm_Occurred,Employee_Type,Gender,Type_Of_Injury,Injured_Body_Part,Lost_Days,Damage_Harm_Sufficient_and_Correct_in_RA,accident type ,Date_fix
Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Body,5.0,NO,,7/3/2019
Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Body,7.0,NO,,7/3/2019
Hand Injury from Fall,Electric,Siliana,SI,A2-Injury with lost time,,Normal operation,Other,No involved machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Laceration,Hand,47.0,NO,,4/9/2019
Finger Injury,Electric,Siliana,ZSB,A2-Injury with lost time,,Normal operation,Other,No involved machine,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Laceration,Hand,23.0,YES,,9/12/2019
Right Eyebrow Injury,Electric,Siliana,ZSB,A2-Injury with lost time,,Normal operation,Other,No involved machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Abrasion,Eye,14.0,YES,,23/9/2019
Right Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Eye,5.0,YES,,27/9/2019
Hand Pain,Electric,Siliana,ZSB,A2-Injury with lost time,,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Fracture,Hand,23.0,YES,,10/1/2019
Hand Pain,Electric,Siliana,ZSB,A2-Injury with lost time,,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Fracture,Foot,7.0,YES,,10/7/2019
Laceration,Electric,Siliana,Logistics,A2-Injury with lost time,E - 2001 welding - ultrasonic - wire-cord,Normal operation,Other,No involved machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Laceration,Hand,7.0,NO,,26/11/2019
Back Injury,Electric,Siliana,Logistics,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Body,7.0,YES,,12/10/2019
Right Eyebrow Injury,Electric,Siliana,KS,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Other,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Male,Other,Eye,5.0,YES,,12/6/2019
Left Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Machine Tool,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Eye,7.0,YES,,12/5/2019
Left Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Machine Tool,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Female,Other,Eye,5.0,YES,,16/12/2019
Right Eye Injury,Electric,Siliana,ZSB,A2-Injury with lost time,,Normal operation,Machine Tool,no machine,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Eye,7.0,YES,,12/11/2019
Left Thigh and Foot Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,I - 8001 - supply_for_transport_to_next_plant,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Crush/Bruise,Foot,10.0,NO,,10/7/2019
Back Injury,System,SousseMETS,Logistics,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Male,Abrasion,Body,6.0,NO,,21/10/2019
Body Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain/Strain,Body,7.0,NO,,2/8/2019
Back Pain,Electric,SousseMETS,KS,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain/Strain,Arm,4.0,NO,,17/10/2019
Back Pain,Electric,SousseMETS,KS,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain/Strain,Body,3.0,NO,,17/10/2019
Back Pain,Electric,SousseMETS,Logistics,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain/Strain,Body,15.0,NO,,17/10/2019
Back Injury,System,SousseMETS,KS,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Male,Abrasion,Body,5.0,NO,,27/9/2019
Back Pain,Electric,SousseMETS,Logistics,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain/Strain,Body,8.0,NO,,31/7/2019
Back Pain,Electric,SousseMETS,KS,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain/Strain,Body,10.0,NO,,21/8/2019
Back Pain,Electric,SousseMETS,Logistics,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Sprain/Strain,Body,3.0,NO,,15/10/2019
Left Foot Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,I - 8002 - preparation_raw_materials_/_components,Normal operation,Other,,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Crush/Bruise,Leg,18.0,NO,,11/11/2019
Wrong Movement Injury,Interior,SousseUATS,Production,A2-Injury with lost time,I - 1021 - injection_compression_molding,Normal operation,Conveyor System / Robot,Mold of foam injection,"9.1 - Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Female,Sprain/Strain,Hand,4.0,NO,,21/10/2019
Left Hand Finger Injury,System,ElJem,IR,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,9.2 - Manual work requiring a low level of physical strength,NO,YES,DRX,Male,Stab injury,Hand,5.0,YES,,19/3/2019
Lower Back Pain,System,ElJem,MM,A2-Injury with lost time,I - 3001 - drilling - vacuum_hole,Normal operation,Other,,9.2 - Manual work requiring a low level of physical strength,NO,YES,DRX,Male,Sprain/Strain,Body,5.0,NO,,1/4/2019
Neck Injury,System,SousseMETS,VK,A2-Injury with lost time,I - 7009 - commInteriorsioning,Normal operation,Other,,9.2 - Manual work requiring a low level of physical strength,NO,NO,DRX,Female,Abrasion,Other,15.0,NO,,21/10/2019
Neck Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,I - 7004 - reworking,Normal operation,Other,,9.2 - Manual work requiring a low level of physical strength,NO,YES,DRX,Female,Crush/Bruise,Arm,12.0,NO,,12/3/2019
Neck Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,I - 7004 - reworking,Normal operation,Other,,9.2 - Manual work requiring a low level of physical strength,NO,YES,DRX,Female,Crush/Bruise,Arm,12.0,NO,,12/3/2019
Hand Injury,System,SousseMETS,Production,A2-Injury with lost time,I - 7009 - commInteriorsioning,Normal operation,Other,,9.2 - Manual work requiring a low level of physical strength,NO,NO,DRX,Male,Abrasion,Hand,8.0,NO,,25/10/2019
Abdominal Injury,System,SousseMETS,BX8,A2-Injury with lost time,I - 7009 - commInteriorsioning,Normal operation,Other,Plan de travail,9.2 - Manual work requiring a low level of physical strength,NO,NO,DRX,Male,Abrasion,Hand,3.0,NO,,25/10/2019
Left Eye Injury,Electric,SousseMETS,KS,A2-Injury with lost time,E - 3002 cutting - wire,Normal operation,Other,,9.2 - Manual work requiring a low level of physical strength,NO,YES,DRX,Female,Crush/Bruise,Eye,7.0,NO,,25/11/2019
Left Hand Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,9.2 - Manual work requiring a low level of physical strength,NO,YES,DRX,Female,Crush/Bruise,Hand,26.0,NO,,11/6/2019
Lower Back Pain,System,ElJem,Logistics,A2-Injury with lost time,I - 7009 - commInteriorsioning,Normal operation,Other,,9.3 - Forced posture,YES,YES,DRX,Male,Other,Body,15.0,NO,,3/4/2019
Body Injury from Collision,Electric,Siliana,ZSB,A2-Injury with lost time,I - 1001 - blow_molding,Normal operation,Other,no machine,9.3 - Forced posture,NO,YES,DRX,Female,Other,Body,7.0,YES,,13/12/2019
Lumbago Pain,System,ElJem,Logistics,A2-Injury with lost time,I - 4008 - assembly,Normal operation,Other,,9.5 - Working with increased exertion and/or applied strength,YES,YES,DRX,Male,Other,Body,10.0,YES,,15/3/2019
Hamstring Injury,Electric,Siliana,KS,A2-Injury with lost time,Other,Normal operation,Other,no machine,9.5 - Working with increased exertion and/or applied strength,NO,NO,DRX,Male,Fracture,Foot,5.0,NO,,21/5/2019
Right Thumb Injury,System,SousseMETS,BX8,A2-Injury with lost time,E - 4016 assembly - corrugated_pipe_/_sleeving,Normal operation,Other,,9.5 - Working with increased exertion and/or applied strength,NO,YES,DRX,Female,Fracture,Hand,25.0,NO,,11/6/2019
Lower Back Pain,System,ElJem,,A2-Injury with lost time,Other,Maintenance,Other,,,YES,YES,DRX,Male,Sprain/Strain,Body,7.0,YES,,6/7/2019
Right Hand Injury,Electric,Siliana,MR,A2-Injury with lost time,Other,Maintenance,Machine Tool,no machine,,NO,YES,DRX,Female,Fracture,Arm,3.0,NO,,19/4/2019
Hand Injury,Electric,Siliana,Production,A2-Injury with lost time,,Normal operation,Other,No involved machine,,NO,YES,DRX,Male,Other,Hand,5.0,NO,,11/9/2019
Right Hand Injury,Interior,SousseMETS,KS,A2-Injury with lost time,,Normal operation,Other,,,YES,NO,DRX,Male,Fracture,Hand,8.0,NO,,8/1/2019
Lower Back Pain,System,SousseMETS,Logistics,A2-Injury with lost time,,Normal operation,Other,,,YES,NO,DRX,Male,Abrasion,Other,5.0,NO,,30/9/2019
Right Elbow Injury,Electric,SousseMETS,WC,A2-Injury with lost time,,Normal operation,Other,,,NO,YES,DRX,Female,Crush/Bruise,Hand,10.0,NO,,6/3/2019
Right Hand Injury,Electric,SousseMETS,KS,A2-Injury with lost time,,Normal operation,Other,,,NO,YES,DRX,Male,Crush/Bruise,Hand,15.0,NO,,29/6/2019
Left Hand Injury,System,SousseMETS,KS,A2-Injury with lost time,,Normal operation,Other,,,NO,YES,DRX,Male,Crush/Bruise,Hand,15.0,NO,,19/6/2019
Right Foot Injury,System,SousseMETS,Quality,A2-Injury with lost time,,Normal operation,Other,,,NO,YES,DRX,Male,Fracture,Foot,21.0,NO,,10/6/2019
Eye Injury,Electric,SousseMETS,Zeta,A2-Injury with lost time,,Normal operation,Other,,,NO,YES,DRX,Female,Crush/Bruise,Eye,6.0,NO,,20/9/2019
Left Foot Injury,Electric,SousseMETS,Administration,A2-Injury with lost time,,Normal operation,Other,,,NO,YES,DRX,Female,Crush/Bruise,Foot,15.0,NO,,12/3/2019
Left Foot Injury,Interior,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,Other,,,NO,YES,DRX,Female,Crush/Bruise,Foot,21.0,NO,,4/2/2019
Right Foot Injury,Electric,SousseMETS,Administration,A2-Injury with lost time,,Normal operation,Other,,,NO,YES,DRX,Female,Crush/Bruise,Foot,10.0,NO,,11/4/2019
Finger Wound,Electric,SousseMETS,KS,A2-Injury with lost time,E - 4001 crimping - contact_part,Normal operation,Metal Working Machine,schaeffer,,YES,NO,DRX,Male,Laceration,Hand,12.0,YES,,3/8/2019
Left Foot Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,Other,,,NO,YES,DRX,Female,Crush/Bruise,Foot,4.0,NO,,21/11/2019
Foot Injury,Electric,SousseMETS,MM,A2-Injury with lost time,,Normal operation,Other,,,NO,YES,DRX,Female,Abrasion,Foot,10.0,NO,,17/9/2019
Index Finger Injury,System,SousseMETS,MM,A2-Injury with lost time,,Normal operation,Other,,,NO,NO,DRX,Male,Abrasion,Foot,8.0,NO,,13/9/2019
Thigh Injury,System,SousseMETS,KS,A2-Injury with lost time,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harnElectrics",Maintenance,ProcElectrics Machine,Komax alpha 355,,NO,NO,DRX,Male,Sprain/Strain,Leg,12.0,NO,,10/9/2019
Right Foot Wound,System,SousseMETS,BX8,A2-Injury with lost time,,Normal operation,Other,,,YES,NO,DRX,Female,Stab injury,Foot,11.0,NO,,11/10/2019
Head Injury,Electric,Siliana,SI,A2-Injury with lost time,Other,Normal operation,,,,YES,NO,DRX,Female,Other,Head,1.0,NO,Non-work related accident,26/3/2020
Eye Injury from Tool Strike,Electric,Siliana,VK,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,,,,NO,YES,DRX,Male,Sprain/Strain,Eye,10.0,NO,Work related accident,22/7/2020
Right Wrist Wound,Electric,SousseMETS,BX8,A2-Injury with lost time,I-Production step 4 - bulk assembly - production island,Normal operation,,,,NO,,DRX,Female,Stab injury,Hand,10.0,YES,Work related accident,13/5/2020
Foot Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,Other,Normal operation,,,,NO,,DRX,Female,Sprain/Strain,Foot,10.0,YES,Non-work related accident,12/8/2020
Right Hand Injury,Electric,SousseMETS,Production,A2-Injury with lost time,I-Production step 1 -  carrier + pattern Production - technology shop,Normal operation,,,,NO,NO,DRX,Male,Abrasion,Hand,8.0,YES,Work related accident,11/3/2020
Hand Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,E-Final Assembly - Customer order,Normal operation,,,,NO,,DRX,Male,Fracture,Hand,30.0,YES,Work related accident,2/6/2020
Left Hand Finger Injury,Electric,SousseMETS,VK,A2-Injury with lost time,I-Production step 1 -  carrier + pattern Production - technology shop,Normal operation,Other,machine coupe schlauch N10741/002,1.1 - Unprotected parts with controlled movements,NO,NO,DRX,Female,Cut,Hand,30.0,NO,Work related accident,20/2/2020
Right Little Finger Injury,Electric,SousseMETS,KS,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Processing Machines,Schleuniger,1.1 - Unprotected parts with controlled movements,NO,,DRX,Female,Stab injury,Hand,8.0,YES,Work related accident,12/8/2020
Left Hand Finger Injury,Electric,SousseMETS,VK,A2-Injury with lost time,I-Production step 1 - carrier + pattern Production - technology shop,Normal operation,Other,machine coupe schlauch N10741/002,1.1 - Unprotected parts with controlled movements,NO,NO,DRX,Female,Cut,Hand,30.0,NO,Work related accident,20/2/2020
Right Eye Injury,Electric,ElJem,MM,A2-Injury with lost time,E-Pre Assembly - Detail Planning Group DPG,Normal operation,Other,Baubrett,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Female,Crush/Bruise,Eye,5.0,YES,Work related accident,3/2/2020
Left Thumb Sprain,Electric,ElJem,IR,A2-Injury with lost time,Other,Normal operation,,,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Female,Other,Hand,17.0,YES,Work related accident,16/3/2020
Frontal Injury,Electric,ElJem,IR,A2-Injury with lost time,I-Production step 3 - lamination and finishing processes - production cell,Normal operation,,,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Female,Cut,Head,13.0,YES,Work related accident,18/8/2020
Knee Contusion,Electric,ElJem,IR,A2-Injury with lost time,Other,Normal operation,,,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain/Strain,Foot,15.0,YES,Work related accident,20/11/2020
Internal Contusion of Right Wrist,Electric,ElJem,IR,A2-Injury with lost time,Other,Normal operation,,,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain/Strain,Hand,7.0,YES,Work related accident,24/11/2020
Left Thumb Contusion,Electric,ElJem,IR,A2-Injury with lost time,Other,Normal operation,,,1.2 - Parts with dangerous surfaces,YES,YES,DRX,Female,Sprain/Strain,Hand,15.0,YES,Work related accident,26/11/2020
Hand Injury,Electric,SousseMETS,KS,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Other,Cutting machine,1.2 - Parts with dangerous surfaces,NO,NO,DRX,Male,Sprain/Strain,Hand,30.0,YES,Work related accident,28/1/2020
Right Middle Finger Wound,Electric,SousseMETS,FBB,A2-Injury with lost time,E-Commissioning - Customer order,Normal operation,,,1.2 - Parts with dangerous surfaces,NO,NO,DRX,Female,Laceration,Hand,4.0,YES,Non-work related accident,3/12/2020
Lower Back Pain,Electric,ElJem,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,1.3 - Transport and mobile work equipment,NO,YES,DRX,Male,Other,Body,3.0,YES,Work related accident,7/12/2020
Lower Back Pain,Electric,ElJem,IR,A2-Injury with lost time,Logistics,Normal operation,,,1.3 - Transport and mobile work equipment,NO,YES,DRX,Male,Other,Body,14.0,YES,Work related accident,3/12/2020
Right Leg Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,1.3 - Transport and mobile work equipment,YES,YES,DRX,Male,Laceration,Foot,1.0,NO,Work related accident,4/2/2020
Head Injury,Electric,Siliana,MM,A2-Injury with lost time,Other,Normal operation,,,1.3 - Transport and mobile work equipment,YES,YES,DRX,Female,Other,Head,3.0,NO,Work related accident,3/6/2020
Right Hand Injury,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,,,1.4 - Parts with uncontrolled movements,YES,NO,DRX,Male,Crush/Bruise,Hand,3.0,NO,Work related accident,5/6/2020
Left Leg Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,,,1.4 - Parts with uncontrolled movements,NO,NO,DRX,Male,Crush/Bruise,Hand,3.0,NO,Work related accident,16/6/2020
Right Wrist Fracture,Electric,SousseMETS,BX8,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Lifting Gear / conveyors,pistolet,1.4 - Uncontrolled moving parts,NO,,DRX,Male,Fracture,Hand,15.0,YES,Work related accident,14/8/2020
Right Ankle Sprain,Electric,ElJem,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",YES,YES,DRX,Male,Other,Foot,21.0,YES,Work related accident,18/12/2020
Hand Injury from Fall,Electric,Siliana,IR,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Other,Hand,1.0,NO,Non-work related accident,17/2/2020
Right Leg Injury from Loss of Balance,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Fracture,Foot,5.0,NO,Non-work related accident,22/1/2020
Injury from Fall,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Leg,3.0,NO,Work related accident,26/5/2020
Right Hand Injury,Electric,Siliana,Quality,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Fracture,Arm,30.0,NO,Non-work related accident,15/2/2020
Mouth Injury,Electric,Siliana,MR,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Internal organs,6.0,NO,Non-work related accident,9/6/2020
Injury from Loss of Balance,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,YES,DRX,Male,Abrasion,Body,5.0,NO,Work related accident,23/6/2020
Injury from Fall,Electric,Siliana,WC,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Eye,2.0,NO,Work related accident,23/6/2020
Injury from Fall,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Leg,2.0,NO,Non-work related accident,30/6/2020
Injury from Fall,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",YES,NO,DRX,Female,Other,Leg,3.0,NO,Work related accident,16/6/2020
Left Leg Injury from Slipping,Electric,Siliana,IR,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Burn/Scald,Leg,7.0,NO,Non-work related accident,5/8/2020
Commuting Accident,Interior,SousseUATS,Outside building,A2-Injury with lost time,,,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain/Strain,Leg,8.0,YES,Non-work related accident,14/9/2020
Left Ankle Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,E-order picking - Customer order,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain/Strain,Foot,1.0,YES,Work related accident,9/1/2020
Back and Neck Injury,Electric,SousseMETS,Production,A2-Injury with lost time,I-Production step 4 - bulk assembly - production island,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/Bruise,Body,3.0,NO,Work related accident,28/1/2020
Right Foot Injury,Electric,SousseMETS,Outside building,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain/Strain,Foot,15.0,YES,Non-work related accident,4/5/2020
Right Foot Injury,Electric,SousseMETS,Outside building,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Male,Sprain/Strain,Foot,10.0,YES,Non-work related accident,7/5/2020
Back Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,E-order picking - Customer order,Malfunction,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Sprain/Strain,Body,5.0,YES,Work related accident,10/7/2020
Right Foot Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,E-order picking - Customer order,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/Bruise,Foot,6.0,YES,Work related accident,9/9/2020
Right Leg Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Other,Leg,6.0,YES,Non-work related accident,28/9/2020
Back Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,E-Commissioning - Customer order,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Male,Crush/Bruise,Body,4.0,YES,Work related accident,24/2/2020
Right Wrist Injury,Electric,SousseMETS,Zeta,A2-Injury with lost time,,,,,"1.5 - Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Sprain/Strain,Hand,18.0,YES,Non-work related accident,27/5/2020
Lower Back Pain,Electric,SousseMETS,Zeta,A2-Injury with lost time,Other,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Other,Body,8.0,YES,Non-work related accident,3/7/2020
Right Foot Injury,Electric,SousseMETS,BX8,A2-Injury with lost time,E-Commissioning - Customer order,Normal operation,,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Female,Crush/Bruise,Foot,3.0,YES,Work related accident,17/11/2020
Left Hand Injury,Electric,SousseMETS,WC,A2-Injury with lost time,Other,Normal operation,Tools / Utilities,,"1.5 - Falling, slipping, stumbling, tripping",NO,,DRX,Male,Fracture,Hand,30.0,YES,Non-work related accident,19/6/2020
Right Ankle Sprain,Electric,ElJem,Production,A2-Injury with lost time,Other,Normal operation,,,1.6 - Falls,NO,,DRX,Female,Sprain/Strain,Foot,12.0,YES,Non-work related accident,14/8/2020
Right Foot Ankle Sprain,Electric,ElJem,Outside building,A2-Injury with lost time,Office,Normal operation,,,1.6 - Falls,YES,YES,DRX,Female,Sprain/Strain,Foot,21.0,YES,Non-work related accident,17/8/2020
Left Leg Injury,Electric,Siliana,Production,A2-Injury with lost time,I-Production step 5 - sequenced assembly - production island,Normal operation,Work place / paths,,1.6 - Falls,YES,NO,DRX,Female,Stab injury,Foot,7.0,NO,Non-work related accident,17/2/2020
Fracture from Falling Object,Interior,SousseUATS,Logistics,A2-Injury with lost time,Logistics,Normal operation,Tools / Utilities,couvercle de repark en bois,1.6 - Falls,NO,NO,DRX,Male,Fracture,Hand,48.0,YES,Work related accident,13/5/2020
Right Wrist Fracture,Electric,SousseMETS,BX8,A2-Injury with lost time,E-Cable Cutting - cable or cable-set,Normal operation,Lifting Gear / conveyors,pistolet,1.6 - Falls,NO,,DRX,Male,Fracture,Hand,15.0,YES,Work related accident,14/8/2020
Left Knee Injury,Electric,SousseMETS,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,1.6 - Falls,NO,,DRX,Male,Crush/Bruise,Foot,15.0,YES,Work related accident,22/10/2020
Eye Injury,Electric,ElJem,MR,A2-Injury with lost time,E-Assembly - Item number,Normal operation,,,10.2 - Work organization,NO,YES,DRX,Female,Other,Eye,8.0,YES,Work related accident,19/2/2020
Chemical Product Projection,Interior,SousseUATS,Foaming Area,A2-Injury with lost time,Other,Maintenance,Conveyor System / Robot,Foam injection robot,3.3 - Skin contact with hazardous substances,NO,NO,DRX,Male,Chemical Burn,Eye,5.0,YES,Work related accident,28/10/2020
Deep Wound on the Forehead,Electric,ElJem,MR,A2-Injury with lost time,Other,Maintenance,Conveyor System / Robot,Baubrettbeförderer,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,YES,DRX,Male,Cut,Head,6.0,YES,Work related accident,4/2/2020
Right Hand Injury,Electric,ElJem,Maintenance,A2-Injury with lost time,Other,Normal operation,,,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,YES,DRX,Male,Fracture,Hand,9.0,YES,Work related accident,27/2/2020
Bilateral Temporal Wound with Stitches,Electric,ElJem,Logistics,A2-Injury with lost time,Logistics,Normal operation,,,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,,DRX,Male,Stab injury,Head,7.0,YES,Work related accident,24/7/2020
Right Hand Contusion,Electric,ElJem,Maintenance,A2-Injury with lost time,Other,Normal operation,,,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,YES,DRX,Male,Sprain/Strain,Hand,7.0,YES,Work related accident,20/11/2020
Head Injury,Electric,Siliana,Logistics,A2-Injury with lost time,Other,Normal operation,,,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,NO,DRX,Female,Fracture,Foot,10.0,NO,Non-work related accident,12/3/2020
Head and Left Hand Injury,Electric,Siliana,ZSB,A2-Injury with lost time,Other,Normal operation,,,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",NO,NO,DRX,Female,Other,Head,6.0,NO,Non-work related accident,20/5/2020
Head Injury,Electric,Siliana,Production,A2-Injury with lost time,Other,Normal operation,,,"8.5 - Insufficient room to move at the workplace, unfavorable workplace requirements, insufficient break rooms, sanitary rooms",YES,NO,DRX,Female,Other,Head,3.0,NO,Work related accident,4/6/2020
